Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
19th Nervous Breakdown,1965,1966,Got Live If You Want It!,ABKCO Records / Universal,Live,8,211,Jagger/Richards,Jagger,0.04,0.499,0.8,0.0286,0.224,-8.977,0.0379,96.433,0.829,No,No,No,No,1st,2nd,No,2nd,1st,2nd,19th,No,9th,No,No
100 Years Ago,1972,1973,Goats Head Soup,Interscope / Polydor,Studio,2,238,Jagger/Richards,Jagger,0.935,0.554,0.413,0.000994,0.145,-7.8,0.0276,105.219,0.414,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2000 Light Years From Home,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,9,285,Jagger/Richards,Jagger,0.0032,0.39,0.621,0.00406,0.149,-13.704,0.049,122.328,0.278,No,No,No,No,No,No,No,No,5th,3rd,No,No,No,No,No
2000 Man,1967,1967,Their Satanic Majesties Request,ABKCO Records,Studio,4,187,Jagger/Richards,Jagger,0.0215,0.456,0.474,0.0245,0.425,-8.098,0.047,122.338,0.563,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2120 South Michigan Avenue,1964,1964,12 X 5,ABKCO Records,Studio,7,219,Nanker Phelge[a],instrumental,0.00153,0.618,0.573,0.84,0.0841,-13.167,0.0309,147.195,0.83,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ain't Too Proud To Beg,1973,1974,It's Only Rock 'n' Roll,Virgin,Studio,2,210,Norman Whitfield/Eddie Holland,Jagger,0.686,0.588,0.906,0.0973,0.425,-4.613,0.0441,128.641,0.889,No,No,No,No,15th,23th,No,17th,No,No,11th,No,14th,No,No
All About You,1979,1980,Emotional Rescue,Universal,Studio,10,257,Jagger/Richards,Richards,0.335,0.62,0.384,0.00611,0.147,-9.128,0.0259,86.727,0.224,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All Down The Line,1972,1972,Exile on Main St.,Virgin,Studio,15,230,Jagger/Richards,Jagger,0.00154,0.239,0.963,0.47,0.795,-4.126,0.0552,83.126,0.664,No,No,No,No,77th,No,No,No,No,No,No,No,No,No,No
All Of Your Love,2015,2016,Blue & Lonesome,Interscope / Polydor,Studio,4,286,Magic Sam,Jagger,0.459,0.429,0.683,0.462,0.272,-5.046,0.0327,75.68,0.277,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All Sold Out,1966,1967,Between the Buttons,ABKCO Records,Studio,7,138,Jagger/Richards,Jagger,0.505,0.691,0.671,4.48e-06,0.107,-9.173,0.0396,117.514,0.769,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All The Way Down,1982,1983,Undercover,Universal,Studio,9,194,Jagger/Richards,Jagger,0.21,0.572,0.949,0.776,0.398,-4.83,0.0801,142.84,0.806,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Almost Hear You Sigh,1989,1989,Steel Wheels,Virgin,Studio,9,277,Jagger/Richards/Jordan,Jagger,0.275,0.648,0.815,0.000193,0.076,-5.391,0.0232,102.259,0.759,Yes,30.06. 1990,31th,5th,No,No,No,50th,58th,11th,No,No,14th,5th,No
Already Over Me,1997,1997,Bridges to Babylon,Virgin,Studio,4,324,Jagger/Richards,Jagger,0.142,0.48,0.481,0.000269,0.43,-5.823,0.0259,73.188,0.179,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Always Suffering,1997,1997,Bridges to Babylon,Virgin,Studio,10,283,Jagger/Richards,Jagger,0.197,0.313,0.506,2.44e-06,0.197,-8.054,0.0312,175.849,0.161,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Angie,1972,1973,Goats Head Soup,Interscope / Polydor,Studio,5,272,Jagger/Richards,Jagger,0.444,0.374,0.784,6.83e-05,0.131,-6.621,0.0832,134.467,0.347,Yes,01.09. 1973,5th,10th,1st,1st,No,1st,2nd,1st,1st,1st,1st,No,RIAA: Gold
Anybody Seen My Baby?,1997,1997,Bridges to Babylon,Virgin,Studio,2,271,Jagger/Richards/Lang/Mink,Jagger,0.00286,0.605,0.742,0.00105,0.256,-4.363,0.0327,105.04,0.47,Yes,04.10. 1997,22th,3rd,No,No,No,No,24th,25th,No,26th,1st,1st,No
Around And Around,1964,1964,Love You Live,Virgin,Live,4,232,Chuck Berry,Jagger,0.448,0.312,0.617,9.74e-05,0.274,-11.783,0.0672,183.436,0.789,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
As Tears Go By,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,9,166,Jagger/Richards/Loog Oldham,Jagger,0.734,0.375,0.29,0.00169,0.185,-10.889,0.0293,113.163,0.344,No,No,No,No,3rd,6th,No,6th,8th,No,22th,No,1st,No,No
Baby Break It Down,1994,1994,Voodoo Lounge,Virgin,Studio,13,249,Jagger/Richards,Jagger,0.0859,0.427,0.756,2.97e-06,0.137,-5.732,0.0362,199.393,0.745,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Back Of My Hand,2004,2005,A Bigger Bang,Virgin,Studio,6,212,Jagger/Richards,Jagger,0.654,0.488,0.674,0.000562,0.363,-6.41,0.0431,85.049,0.425,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Back Street Girl,1966,1967,Flowers,ABKCO Records,Compilation,7,206,Jagger/Richards,Jagger,0.0181,0.425,0.236,0.0,0.0936,-12.784,0.0271,154.091,0.519,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Back To Zero,1985,1986,Dirty Work,Virgin,Studio,7,240,Jagger/Richards/Leavell,Jagger,0.183,0.676,0.94,0.0187,0.064,-4.472,0.0968,105.383,0.689,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beast Of Burden,1977,1978,Some Girls,Universal,Studio,9,265,Jagger/Richards,Jagger,0.413,0.786,0.87,0.000494,0.0389,-3.875,0.0316,100.66,0.864,No,No,No,No,7th,11th,No,8th,No,No,No,No,9th,No,No
Before They Make Me Run,1978,1978,Some Girls,Universal,Studio,8,204,Jagger/Richards,Richards,0.424,0.598,0.943,0.0153,0.0499,-2.256,0.123,132.596,0.681,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Biggest Mistake,2004,2005,A Bigger Bang,Virgin,Studio,8,246,Jagger/Richards,Jagger,0.197,0.563,0.861,0.0,0.231,-3.343,0.0325,113.98,0.807,Yes,02.09. 2006,51th,2nd,No,No,No,No,94th,77th,No,No,No,No,No
